invoice_id,branch,city,customer_type,gender,prouduct_line,unit_price,quantity,VAT,total,date,time,payment_method,cogs,gross_margin_percentage,gross_income,rating
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.56,3/13/2019 0:00,19:44:00,Credit card,320.53,gross_margin_percentage,16.03,7
101-81-4070,C,Naypyitaw,Member,Female,Health and beauty,62.82,2,6.282,131.92,1/17/2019 0:00,12:36:00,Ewallet,125.64,gross_margin_percentage,6.28,4.9
102-06-2002,C,Naypyitaw,Member,Male,Sports and travel,25.25,5,6.3125,132.56,3/20/2019 0:00,17:52:00,Cash,126.25,gross_margin_percentage,6.31,6.1
102-77-2261,C,Naypyitaw,Member,Male,Health and beauty,65.31,7,22.8585,480.03,3/5/2019 0:00,18:02:00,Credit card,457.17,gross_margin_percentage,22.86,4.2
105-10-6182,A,Yangon,Member,Male,Fashion accessories,21.48,2,2.148,45.11,2/27/2019 0:00,12:22:00,Ewallet,42.96,gross_margin_percentage,2.15,6.6
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.97,2/1/2019 0:00,15:10:00,Credit card,486.64,gross_margin_percentage,24.33,8.5
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.11,3/27/2019 0:00,11:26:00,Cash,88.68,gross_margin_percentage,4.43,5.8
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.94,1/7/2019 0:00,15:01:00,Ewallet,585.66,gross_margin_percentage,29.28,9.9
109-86-4363,B,Mandalay,Member,Female,Sports and travel,60.08,7,21.028,441.59,2/14/2019 0:00,11:36:00,Credit card,420.56,gross_margin_percentage,21.03,4.5
110-05-6330,C,Naypyitaw,Normal,Female,Food and beverages,39.43,6,11.829,248.41,3/25/2019 0:00,20:18:00,Credit card,236.58,gross_margin_percentage,11.83,9.4
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,137,1/29/2019 0:00,14:12:00,Cash,130.48,gross_margin_percentage,6.52,9
114-35-5271,B,Mandalay,Normal,Female,Electronic accessories,57.91,8,23.164,486.44,2/7/2019 0:00,15:06:00,Cash,463.28,gross_margin_percentage,23.16,8.1
115-38-7388,C,Naypyitaw,Member,Female,Fashion accessories,10.18,8,4.072,85.51,3/30/2019 0:00,12:51:00,Credit card,81.44,gross_margin_percentage,4.07,9.5
115-99-4379,B,Mandalay,Member,Female,Fashion accessories,54.73,7,19.1555,402.27,3/14/2019 0:00,19:02:00,Credit card,383.11,gross_margin_percentage,19.16,8.5
118-62-1812,C,Naypyitaw,Member,Female,Home and lifestyle,78.38,4,15.676,329.2,3/24/2019 0:00,17:56:00,Cash,313.52,gross_margin_percentage,15.68,7.9
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.84,3/12/2019 0:00,20:36:00,Cash,183.66,gross_margin_percentage,9.18,9.3
120-54-2248,B,Mandalay,Normal,Female,Food and beverages,28.86,5,7.215,151.52,1/22/2019 0:00,18:08:00,Credit card,144.3,gross_margin_percentage,7.22,8
122-61-9553,C,Naypyitaw,Normal,Female,Electronic accessories,51.32,9,23.094,484.97,3/14/2019 0:00,19:33:00,Cash,461.88,gross_margin_percentage,23.09,5.6
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.05,1/27/2019 0:00,20:33:00,Ewallet,465.76,gross_margin_percentage,23.29,8.4
123-35-4896,C,Naypyitaw,Normal,Female,Sports and travel,46.66,9,20.997,440.94,2/17/2019 0:00,19:11:00,Ewallet,419.94,gross_margin_percentage,21,5.3
124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,250.71,1/8/2019 0:00,14:30:00,Cash,238.77,gross_margin_percentage,11.94,6.6
125-45-2293,A,Yangon,Normal,Female,Fashion accessories,99.1,6,29.73,624.33,1/19/2019 0:00,13:11:00,Cash,594.6,gross_margin_percentage,29.73,4.2
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.55,1/7/2019 0:00,11:44:00,Credit card,193.86,gross_margin_percentage,9.69,8.8
127-47-6963,A,Yangon,Normal,Male,Health and beauty,51.71,4,10.342,217.18,3/9/2019 0:00,13:53:00,Credit card,206.84,gross_margin_percentage,10.34,9.8
